Intent,Query,Responses
Acad_Axi_GI_Qué es un recurso electrónico,What is a summary card?,"Consulta la Lectura. Rojo, P. (2008). El acceso a la información en la era digital: situación actual y perspectivas desde las empresas periodísticas multimedia. Comunicación, 1(6), 159-172. Recuperado de http://www.revistacomunicacion.org/pdf/n6/articulos/11_el_acceso_a_la_informacion_en_la_era_digital.pdf Dá click aquí"
Acad_Axi_GI_Qué es una ficha de resumen,What is a social network?,Summary sheet: It is a material or computer document where the main data of a subject studied are stored.
Acad_Axi_GI_Qué es una red social,What are ICTs?,"Consulta la Sesión 6 UA11. Lectura. Hütt, H. (2012). Las redes sociales: una nueva herramienta de difusión. Revista Reflexiones, 91(2), 121-128. Recuperado de https://www.redalyc.org/pdf/729/72923962008.pdf Dá click aquí"
Acad_Axi_GI_Qué son las TICS,What are data collection instruments?,"TICS: Check the reading Reading. Grande, M., Cañón R., and Cantón, I. (2016). Information and communication technologies: evolution of the concept and characteristics. International Journal of Education Research and Innovation, 6, 218-230. Retrieved from https://www.upo.es/revistas/index.php/IJERI/article/download/1703/1559"
Acad_Axi_GI_Qué son los instrumentos de recolección de datos,What is Cloud computing?,Data collection instruments: Check the reading. University of Chile. (s.f.). 2.2. What data collection techniques are there? Retrieved from https://www.u-cursos.cl/fau/2010/1/AO1001/12/material_docente/bajar?id_material=453755
Acad_Axi_GI_Qués es Cloud computing,What is a repository?,"Cloud computing: Consultation Session 5 UA9. Reading. Serrano, J. (June 28, 2016). Analysis of cloud solutions for file storage and collaborative work. (Bachelor's thesis). Polytechnic university of Valencia. Retrieved from https://riunet.upv.es/bitstream/handle/10251/80435/SERRANO%20-%20Análisis%20de%20soluciones%20cloud%20para%20almacenamiento%20de%20archivos%20y%20trabajo%20colaborativo..pdf"
Acad_Axi_GI_repositorio,Should I solve my diagnostic evaluation?,Repository: Consult the infographic of Session 6 UA12
Acad_Axi_GI_resolver mi evaluación diagnóstica,"To record the video, do I have to use a specific program?","Si, ya que te ayudan a valorar tus conocimientos previos a la materia a cursar."
Acad_Axi_GI_S1_para grabar video,What session is homework part 1 in?,"You do not need a specific program to record a video, there are currently various means that you can use to record your video, you can record yourself from the video camera of your cell phone, from your laptop or any program of your choice."
Acad_Axi_GI_S1_ubicacion tarea 1,"If the diagnostic evaluation is not active, who should I contact?","The task part 1 is in: 1.- In content, you go to session 3, then learning unit 6 and section 4. Tasks 2.- You enter My classroom, click on tasks and select the one that says session 3 and displays the work instructions."
Acad_Axi_GI_S1_vista de la evaluacion diagnostica,"What is electronic commerce, e-market?","If the diagnostic evaluation is not active, you can ask your teacher to activate it, or contact your DECODI coordinator"
Acad_Axi_GI_S2_Comercio electronico,What are the steps to develop an information project?,"For detailed information on electronic commerce, see reading (5) Rojo, P. (2008). Access to information in the digital age: current situation and perspectives from multimedia journalistic companies, in the following link. http://www.revistacomunicacion.org/pdf/n6/articulos/11_el_acceso_a_la_informacion_en_la_era_digital.pdf"
Acad_Axi_GI_S3_pasos para desarrollar un proyecto de información,What is a search engine?,"The steps to develop an information project are adequately explained in the infographic that you will find in UA3, Session 2 of the subject."
Acad_Axi_GI_S4_Qué es un buscador,What is a broadcast medium?,The following link provides adequate information about what a search engine is: http://noticiaseinformaciondetic.blogspot.com/2016/02/las-mejores-herramientas-de-busqueda.html
